state_name,state_FIPS,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Alabama,1000,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,4903185
Alaska,2000,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473,713906,722038,730399,737045,736307,737547,741504,739786,737438,731545
Arizona,4000,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,7278717
Arkansas,5000,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,3017804
California,6000,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,39512223
Colorado,8000,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564,5758736
Connecticut,9000,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665,3565287
Delaware,10000,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122,899595,907316,915188,923638,932596,941413,949216,957078,967171,973764
District of Columbia,11000,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,605085,619602,634725,650431,662513,675254,686575,695691,702455,705749
Florida,12000,16047118,16353869,16680309,16981183,17375259,17783868,18088505,18277888,18423878,18537969,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,21477737
Georgia,13000,8230161,8419594,8585535,8735259,8913676,9097428,9330086,9533761,9697838,9829211,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,10617423
Hawaii,15000,1211566,1218305,1228069,1239298,1252782,1266117,1275599,1276832,1287481,1295178,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491,1415872
Idaho,16000,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208,1787065
Illinois,17000,12437645,12507833,12558229,12597981,12645295,12674452,12718011,12779417,12842954,12910409,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,12671821
Indiana,18000,6091649,6124967,6149007,6181789,6214454,6253120,6301700,6346113,6388309,6423113,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,6732219
Iowa,19000,2928184,2929424,2929264,2932799,2941358,2949450,2964391,2978719,2993987,3007856,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145,3155070
Kansas,20000,2692810,2701456,2712598,2721955,2730765,2741771,2755700,2775586,2797375,2818747,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505,2913314
Kentucky,21000,4048903,4069191,4091330,4118627,4147970,4182293,4219374,4256278,4287931,4314113,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,4467673
Louisiana,22000,4468979,4460816,4466068,4474726,4489327,4497691,4240327,4376122,4451513,4492076,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978,4648794
Maine,23000,1277211,1284791,1293938,1303102,1308253,1311631,1314963,1317308,1319691,1318301,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404,1344212
Maryland,24000,5310579,5375033,5439913,5496708,5542659,5582520,5612196,5634242,5658655,5699478,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718,6045680
Massachusetts,25000,6363015,6411730,6440978,6451637,6451279,6453031,6466399,6499275,6543595,6593587,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,6892503
Michigan,26000,9955308,10006093,10038767,10066351,10089305,10090554,10082438,10050847,10002486,9969727,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,9986857
Minnesota,27000,4933958,4982813,5017458,5047862,5079344,5106560,5148346,5191206,5230567,5266214,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179,5639632
Mississippi,28000,2848310,2853313,2858643,2867678,2886006,2900116,2897150,2921723,2940212,2951996,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530,2976149
Missouri,29000,5606065,5643986,5680852,5714847,5758444,5806639,5861572,5909824,5956335,5987580,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452,6137428
Montana,30000,903293,905873,909868,916750,925887,934801,946230,957225,968035,974989,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305,1068778
Nebraska,31000,1713345,1717948,1725083,1733680,1742184,1751721,1760435,1769912,1781949,1796619,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268,1934408
Nevada,32000,2018211,2094509,2166214,2236949,2328703,2408804,2493405,2567752,2615772,2643085,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392,3080156
New Hampshire,33000,1240446,1256879,1271163,1281871,1292766,1301415,1311894,1317343,1321872,1324575,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,1359711
New Jersey,34000,8430921,8489469,8544115,8583481,8611530,8621837,8623721,8636043,8663398,8707739,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,8882190
New Mexico,35000,1820813,1828809,1850035,1869683,1891829,1916538,1942608,1968731,1986763,2009671,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428,2096829
New York,36000,18998044,19088978,19161873,19231101,19297933,19330891,19356564,19422777,19467789,19541453,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,19453561
North Carolina,37000,8079383,8203451,8316617,8416451,8531283,8669452,8866977,9064074,9247134,9380884,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,10488084
North Dakota,38000,641200,636267,633617,632809,636303,635365,636771,638202,641421,646844,674710,685136,701116,721999,737382,754022,754353,755176,760077,762062
Ohio,39000,11363844,11396874,11420981,11445180,11464593,11475262,11492495,11520815,11528072,11542645,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,11689100
Oklahoma,40000,3453943,3464729,3484754,3498687,3514449,3532769,3574334,3612186,3644025,3687050,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079,3956971
Oregon,41000,3430891,3470382,3517111,3550180,3573505,3617869,3677545,3732957,3782991,3825657,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713,4217737
Pennsylvania,42000,12285504,12299533,12326302,12357524,12388368,12418161,12471142,12522531,12566368,12604767,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,12801989
Rhode Island,44000,1050736,1058051,1066034,1071504,1071414,1064989,1060196,1055009,1053502,1053209,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315,1059361
South Carolina,45000,4023570,4062701,4103934,4146474,4201306,4256199,4339399,4424232,4503280,4561242,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127,5148714
South Dakota,46000,755694,758983,762107,766975,774283,780084,788519,797035,804532,812383,816165,823484,833496,842270,849088,853933,862890,873286,882235,884659
Tennessee,47000,5703243,5755443,5803306,5856522,5916762,5995748,6089453,6172862,6240456,6296254,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010,6829174
Texas,48000,20945963,21332847,21710788,22057801,22418319,22801920,23369024,23837701,24304290,24782302,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845,28995881
Utah,49000,2244314,2291250,2334473,2379938,2438915,2499637,2583724,2663796,2727343,2784572,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105,3205958
Vermont,50000,609903,612153,614950,616559,618145,618814,619985,620460,621049,621760,625880,626979,626063,626212,625218,625197,623644,624525,626299,623989
Virginia,51000,7104533,7191304,7283541,7373694,7468914,7563887,7646996,7719749,7795424,7882590,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685,8535519
Washington,53000,5911122,5987785,6056187,6113262,6184289,6261282,6372243,6464979,6566073,6664195,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591,7614893
West Virginia,54000,1806962,1798582,1799411,1802238,1803302,1803920,1807237,1811198,1814873,1819777,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832,1792147
Wisconsin,55000,5374254,5408769,5446766,5476796,5511385,5541443,5571680,5601571,5627610,5654774,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568,5822434
Wyoming,56000,493958,492982,497069,499189,502988,506242,512841,523414,532981,544270,564483,567224,576270,582123,582548,585668,584290,578934,577737,578759